Team,OSRS,DSRS,SRS,Conference,Conf_Champ,Class
Oregon,14.36,7.86,22.22,9,1,0
Ohio State,13.44,7,20.44,7,1,1
Alabama,9.46,10.88,20.34,10,1,0
Texas Christian,11.2,7.76,18.96,6,1,0
Georgia,10.88,7.96,18.84,10,0,0
Ole Miss,0.87,15.93,16.8,10,0,0
Michigan State,9.76,6.31,16.07,7,0,0
Georgia Tech,13.44,2.48,15.92,8,0,0
Mississippi State,8.49,6.55,15.04,10,0,0
Auburn,11.92,3.07,14.99,10,0,0
Baylor,13.69,1.28,14.97,6,1,0
Arkansas,4.3,10.62,14.91,10,0,0
Florida State,10.59,3.9,14.48,8,1,0
UCLA,11.01,3.39,14.4,9,0,0
USC,7.74,6.65,14.39,9,0,0
Arizona State,10.24,3.02,13.26,9,0,0
Kansas State,6.32,6.42,12.73,6,0,0
Wisconsin,3.21,9.49,12.7,7,0,0
Marshall,9.23,3.33,12.5,3,1,0
Stanford,-2.79,15.21,12.42,9,0,0
Missouri,2.51,9.51,12.02,19,0,0
Arizona,6.51,5.39,11.9,9,0,0
Clemson,-1.31,12.94,11.63,8,0,0
LSU,-1.43,12.18,10.75,10,0,0
Boise State,11.44,-0.86,10.58,4,1,0
